CrashId,Latitude,Longitude,Date Of Crash,Crash Severity,Most Severe Injury,Route Class,Route Class Text Format,Roadway Name,corridor
709103,41.786858,-72.718774,4/9/20,K,K,2,USRoute,44-E,Albany Ave
836826,41.786344,-72.756258,7/21/21,A,A,2,USRoute,44-E,Albany Ave
853249,41.786598,-72.741012,9/22/21,A,A,2,USRoute,44-E,Albany Ave
870550,41.79045089,-72.77617663,11/4/21,A,A,2,USRoute,44-E,Albany Ave
948593,41.7863602,-72.73112218,6/13/22,A,A,2,USRoute,44-E,Albany Ave
993115,41.791577,-72.787119,10/8/22,A,A,2,USRoute,44-E,Albany Ave
993226,41.786872,-72.718675,11/4/22,A,A,2,USRoute,44-E,Albany Ave
812250,41.778687,-72.758565,4/30/21,A,A,4,Local,ASYLUM AV,Asylum Ave
612007,41.75579,-72.74784,11/4/19,A,A,4,Local,BOULEVARD,Boulevard
633067,41.75817,-72.75466,12/31/19,A,A,4,Local,FARMINGTON AV,Farmington Ave
647867,41.756555,-72.759909,1/30/20,A,A,4,Local,GARFIELD RD,Farmington Ave
951194,41.76542,-72.72003,6/2/22,A,A,4,Local,FARMINGTON AV,Farmington Ave
956876,41.762138,-72.741889,6/3/22,K,K,4,Local,NORTH MAIN ST,Farmington Ave
469855,41.727174,-72.759653,2/2/18,A,A,1,Interstate,84-W,Interstate I-84
702428,41.739871,-72.737585,8/4/19,A,A,1,Interstate,84-W,Interstate I-84
866324,41.727109,-72.759194,4/3/21,A,A,1,Interstate,84-E,Interstate I-84
594915,41.7996,-72.74908,8/27/19,A,A,3,State,218-E,Main St
493137,41.77925,-72.74615,12/10/18,A,A,4,Local,NORTH MAIN ST,Main St
839890,41.78258,-72.74657,8/9/21,A,A,4,Local,NORTH MAIN ST,Main St
837375,41.75307,-72.74354,8/10/21,A,A,4,Local,PARK RD,Main St
910182,41.77925,-72.74615,2/11/22,A,A,4,Local,NORTH MAIN ST,Main St
974425,41.73116,-72.74331,8/1/22,A,A,4,Local,SOUTH MAIN ST NO 1,Main St
1011255,41.760345,-72.742059,12/17/22,A,A,4,Local,SOUTH MAIN ST NO 2,Main St
403888,41.732276,-72.737973,4/3/18,A,A,3,State,173-N,New Britain Ave
415167,41.729922,-72.724887,5/6/18,A,A,3,State,529-E,New Britain Ave
836830,41.73081531,-72.71754554,7/31/21,A,A,3,State,529-E,New Britain Ave
917132,41.741423,-72.717492,3/6/22,A,A,4,Local,NEW PARK AV,New Park Ave
919799,41.74234,-72.71687,3/11/22,A,A,4,Local,NEW PARK AV,New Park Ave
382774,41.726797,-72.733431,1/26/18,A,A,3,State,173-N,Newington Rd
460430,41.752523,-72.721774,8/19/18,A,A,,,160 Oakwood Ave (lot),Oakwood Ave
404005,41.757018,-72.717553,3/31/18,A,A,4,Local,PARK RD,Park-Sedgwick Rd
514763,41.75784362,-72.7222097,12/16/18,K,K,4,Local,PARK RD,Park-Sedgwick Rd
701827,41.75734119,-72.71886653,7/16/20,A,A,4,Local,PARK RD,Park-Sedgwick Rd
540086,41.780495,-72.714318,2/23/19,A,A,4,Local,PROSPECT AV,Prospect Ave
678840,41.762326,-72.71557,5/7/20,A,A,4,Local,PROSPECT AV,Prospect Ave
717278,41.76028,-72.71545,7/6/20,A,A,4,Local,Prospect Ave,Prospect Ave
759308,41.760205,-72.715359,11/21/20,A,A,4,Local,PROSPECT AV,Prospect Ave
665020,41.746227,-72.729736,3/5/20,A,A,4,Local,QUAKER LANE SO,Quaker Lane
717550,41.737592,-72.729752,8/19/20,A,A,4,Local,QUAKER LANE SO,Quaker Lane
877745,41.766788,-72.728729,12/4/21,A,A,4,Local,FREDERICK RD,Quaker Lane
948910,41.739018,-72.72976,5/25/22,A,A,4,Local,QUAKER LANE SO,Quaker Lane
979256,41.758394,-72.729304,9/15/22,A,A,4,Local,BOULEVARD,Quaker Lane
435167,41.736399,-72.730573,7/7/18,A,A,4,Local,TROUT BROOK DR,Trout Brook-King Philip
975448,41.782789,-72.738109,3/18/22,K,K,4,Local,TROUT BROOK DR,Trout Brook-King Philip
622585,41.77892,-72.7175,11/17/19,A,A,4,Local,Bainton Rd,
719426,41.727406,-72.719805,8/10/20,A,A,4,Local,SHIELD ST,
718631,41.755338,-72.72579,8/26/20,A,A,4,Local,PRICE BLVD NO 1,
807096,41.7471963,-72.74121015,4/16/21,A,A,4,Local,WEBSTER HILL BLVD,
833629,41.77439,-72.77782,7/25/21,A,A,4,Local,TANAGER DR,
836555,41.768359,-72.767613,8/1/21,A,A,4,Local,HILLSBORO DR,
870679,41.75087705,-72.77024213,11/4/21,A,A,4,Local,GIN STILL LA,
889454,41.762777,-72.742387,12/18/21,A,A,4,Local,BRACE RD,
686525,41.75868412,-72.7168369,5/30/20,A,A,,,44 Lockwood Terrace,
871626,41.77363,-72.7268,10/24/21,A,A,,,70 Bainbridge Rpad,